Term Pair	Distribution	z score	p value	adjusted p value
Simvastatin;Nelfinavir	[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	400	0.0	0.0
Simvastatin;Cytochrome P-450 Enzyme System	[69, 4, 3, 2, 3, 6, 3, 3, 6, 4, 4, 2, 8, 4, 4, 4, 5, 6, 1, 3, 2, 1, 4, 3, 2, 9, 3, 3, 3, 6, 5, 6, 2, 6, 7, 2, 4, 5, 3, 3, 3, 5, 7, 5, 4, 5, 5, 2, 6, 5, 2, 4, 3, 3, 2, 5, 4, 2, 5, 5, 2, 4, 3, 3, 6, 1, 7, 6, 3, 1, 8, 4, 6, 7, 4, 1, 2, 3, 4, 4, 5, 3, 4, 2, 5, 5, 5, 2, 10, 1, 3, 4, 3, 2, 1, 7, 4, 2, 4, 3, 5, 8, 2, 3, 5, 6, 5, 2, 4, 3, 7, 2, 2, 2, 7, 3, 4, 1, 2, 4, 4, 3, 6, 2, 2, 2, 0, 4, 4, 6, 4, 5, 5, 5, 4, 2, 3, 4, 3, 5, 2, 3, 7, 4, 2, 10, 5, 3, 6, 5, 2, 6, 8, 8, 4, 9, 1, 4, 4, 6, 8, 3, 3, 3, 6, 6, 4, 5, 6, 5, 4, 2, 3, 3, 9, 5, 2, 3, 3, 5, 6, 8, 5, 8, 5, 5, 2, 8, 5, 3, 5, 2, 5, 5, 3, 6, 2, 4, 4, 4, 2]	33.39011020779246	0.0	0.0
Simvastatin;Itraconazole	[15, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0]	32.45566005534626	0.0	0.0
Simvastatin;Clarithromycin	[17, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 2, 1, 1, 1, 2, 0, 0, 0, 0, 0, 2, 1, 0, 0, 1, 2, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 2, 2, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0]	26.67008502597232	0.0	0.0
Simvastatin;Rifampin	[11, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]	26.429579509160302	0.0	0.0
Simvastatin;Ritonavir	[7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	23.340317816458366	0.0	0.0
Simvastatin;Diltiazem	[19, 0, 0, 1, 1, 1, 0, 1, 2, 1, 1, 0, 0, 0, 0, 0, 1, 3, 0, 0, 1, 0, 1, 2, 0, 0, 0, 4, 2, 0, 0, 0, 0, 0, 1, 1, 1, 0, 2, 1, 1, 1, 1, 1, 2, 1, 1, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 2, 0, 1, 0, 1, 1, 1, 1, 1, 0, 2, 2, 3, 0, 1, 1, 0, 0, 3, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 3, 1, 0, 1, 2, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 4, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 3, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 2, 0, 1, 0, 0, 3, 3, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 2, 1, 1, 2, 0, 0, 3, 0, 2, 0, 0, 3, 1, 0, 3]	20.725265027855308	0.0	0.0
Simvastatin;Verapamil	[12, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 3, 0, 0, 1, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0]	20.53216748505294	0.0	0.0
Simvastatin;Cyclosporine	[35, 4, 4, 2, 2, 3, 2, 0, 4, 7, 4, 2, 7, 5, 1, 1, 6, 3, 3, 2, 3, 2, 4, 1, 2, 6, 4, 3, 1, 3, 5, 0, 2, 2, 4, 3, 8, 3, 2, 6, 4, 2, 1, 4, 1, 1, 1, 2, 6, 1, 4, 1, 3, 4, 3, 7, 4, 3, 3, 3, 5, 6, 2, 5, 2, 2, 4, 3, 6, 2, 4, 0, 5, 2, 3, 1, 1, 4, 2, 2, 2, 3, 6, 2, 2, 5, 3, 5, 8, 2, 7, 1, 4, 3, 4, 5, 3, 3, 2, 1, 3, 0, 0, 2, 5, 1, 5, 4, 3, 4, 1, 1, 8, 3, 2, 4, 4, 3, 9, 1, 2, 2, 1, 2, 3, 2, 4, 7, 7, 3, 3, 2, 3, 5, 3, 5, 3, 3, 2, 5, 5, 1, 2, 0, 5, 4, 4, 2, 5, 5, 4, 3, 5, 5, 2, 5, 4, 2, 2, 3, 3, 4, 2, 7, 2, 4, 6, 3, 2, 1, 3, 3, 3, 4, 0, 8, 0, 4, 4, 4, 4, 6, 4, 6, 7, 4, 9, 6, 4, 6, 3, 5, 4, 4, 4, 5, 6, 3, 6, 4, 6]	16.622888125132707	0.0	0.0
Simvastatin;Amiodarone	[17, 0, 1, 1, 1, 0, 0, 1, 3, 2, 0, 0, 0, 2, 0, 3, 1, 0, 2, 1, 0, 0, 0, 0, 1, 2, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 3, 1, 0, 2, 1, 0, 2, 0, 2, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 2, 0, 0, 2, 0, 2, 1, 1, 2, 3, 0, 1, 1, 2, 2, 0, 0, 1, 4, 1, 1, 0, 2, 4, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 2, 1, 1, 3, 1, 1, 0, 0, 0, 1, 2, 1, 2, 0, 2, 0, 1, 2, 0, 1, 0, 1, 0, 0, 1, 3, 1, 0, 1, 2, 3, 1, 0, 1, 0, 2, 2, 0, 3, 1, 2, 3, 2, 2, 1, 4, 4, 1, 0, 1, 1, 1, 0, 0, 1, 2, 0, 0, 1, 2, 0, 0, 1, 3, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 1, 1, 2, 3, 1, 0, 2, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 2, 1, 0, 0, 3, 0, 0, 0, 2]	16.3173470255887	0.0	0.0
