Term Pair	Distribution	z score	p value
Simvastatin;Cytochrome P-450 CYP3A	[93, 17, 15, 20, 21, 16, 21, 20, 12, 15, 16, 15, 20, 23, 16, 19, 13, 14, 16, 10, 12, 20, 19, 19, 18, 19, 10, 15, 16, 23, 18, 26, 16, 16, 25, 14, 17, 13, 16, 10, 17, 13, 19, 15, 9, 23, 24, 16, 21, 19, 17, 19, 16, 15, 13, 20, 22, 21, 15, 27, 12, 20, 24, 18, 19, 17, 17, 27, 22, 18, 14, 17, 19, 17, 22, 18, 15, 17, 24, 23, 13, 18, 16, 20, 22, 20, 19, 25, 14, 20, 19, 22, 18, 16, 14, 16, 16, 27, 21, 28, 17, 22, 20, 21, 21, 14, 19, 14, 16, 18, 15, 21, 16, 18, 16, 13, 24, 16, 22, 17, 16, 19, 9, 23, 19, 21, 16, 22, 25, 30, 19, 24, 19, 24, 10, 20, 16, 22, 18, 18, 20, 18, 26, 21, 18, 15, 16, 19, 23, 18, 10, 23, 21, 18, 18, 20, 23, 15, 11, 20, 20, 27, 15, 17, 15, 15, 27, 20, 23, 25, 12, 15, 20, 22, 18, 11, 20, 25, 20, 10, 19, 14, 23, 18, 25, 24, 20, 17, 23, 17, 14, 20, 11, 25, 20, 19, 21, 11, 21, 19, 16]	18.04036026545102	0.0
Simvastatin;CYP3A4 protein, human	[57, 9, 11, 10, 10, 10, 14, 10, 5, 7, 7, 5, 12, 16, 10, 8, 5, 6, 14, 5, 8, 8, 10, 12, 9, 10, 7, 9, 7, 11, 10, 16, 9, 8, 14, 7, 13, 5, 9, 7, 8, 4, 11, 7, 5, 9, 10, 11, 12, 10, 9, 12, 8, 9, 9, 12, 11, 13, 7, 14, 3, 10, 12, 10, 9, 8, 9, 12, 8, 13, 8, 8, 11, 9, 14, 13, 10, 8, 12, 11, 4, 9, 8, 10, 14, 7, 13, 10, 10, 10, 10, 12, 11, 8, 9, 10, 7, 13, 11, 17, 12, 8, 8, 9, 9, 6, 7, 5, 8, 9, 8, 9, 11, 9, 10, 9, 9, 10, 9, 8, 9, 9, 7, 9, 11, 10, 8, 8, 13, 8, 8, 13, 10, 11, 6, 11, 8, 10, 6, 10, 7, 6, 15, 14, 9, 7, 10, 8, 9, 9, 4, 9, 12, 12, 6, 9, 11, 9, 9, 10, 9, 10, 12, 5, 9, 4, 18, 7, 14, 14, 8, 10, 8, 11, 11, 4, 10, 13, 12, 6, 13, 5, 15, 11, 17, 14, 11, 4, 15, 9, 6, 9, 7, 13, 10, 11, 12, 3, 12, 12, 9]	16.94791277948933	0.0
Simvastatin;CYP3A protein, human	[34, 2, 5, 5, 4, 3, 3, 2, 3, 7, 2, 3, 8, 6, 5, 0, 1, 4, 3, 1, 2, 3, 2, 2, 1, 4, 2, 3, 2, 2, 4, 6, 5, 3, 5, 3, 5, 1, 3, 3, 1, 6, 5, 1, 3, 2, 3, 5, 2, 6, 3, 5, 3, 1, 3, 1, 2, 7, 5, 5, 2, 5, 5, 4, 4, 5, 7, 5, 7, 3, 2, 2, 4, 4, 5, 4, 2, 3, 9, 5, 3, 6, 6, 3, 4, 3, 0, 4, 5, 4, 3, 5, 4, 6, 6, 3, 6, 8, 6, 9, 6, 6, 3, 4, 5, 4, 3, 3, 3, 3, 2, 3, 3, 4, 2, 1, 6, 6, 2, 4, 5, 4, 2, 3, 2, 5, 4, 5, 7, 8, 2, 4, 1, 7, 4, 2, 2, 5, 6, 3, 7, 1, 3, 4, 2, 0, 4, 5, 6, 6, 2, 3, 6, 3, 7, 2, 1, 2, 1, 4, 5, 7, 2, 2, 1, 1, 4, 9, 4, 9, 4, 2, 4, 4, 3, 3, 3, 9, 3, 2, 1, 2, 5, 2, 10, 5, 6, 2, 6, 1, 2, 6, 3, 5, 4, 5, 6, 0, 5, 3, 2]	15.016158574823764	0.0
Simvastatin;Mixed Function Oxygenases	[16, 1, 4, 3, 0, 4, 1, 1, 3, 2, 1, 3, 1, 0, 2, 2, 3, 3, 2, 2, 1, 3, 1, 3, 1, 4, 4, 1, 0, 1, 3, 2, 3, 1, 4, 5, 1, 1, 0, 1, 3, 5, 2, 0, 5, 2, 1, 3, 1, 2, 2, 3, 1, 3, 2, 2, 3, 4, 3, 1, 2, 2, 3, 2, 3, 4, 1, 2, 0, 3, 3, 5, 3, 1, 1, 0, 5, 2, 4, 2, 2, 3, 5, 1, 2, 3, 0, 3, 6, 1, 0, 3, 2, 4, 4, 3, 2, 5, 5, 2, 3, 3, 1, 2, 1, 3, 1, 3, 3, 2, 0, 2, 3, 2, 2, 3, 4, 4, 5, 2, 3, 4, 1, 8, 3, 6, 1, 0, 0, 1, 3, 5, 1, 3, 3, 2, 3, 2, 6, 5, 3, 1, 6, 1, 2, 1, 4, 1, 1, 2, 0, 0, 2, 1, 1, 3, 5, 5, 0, 1, 2, 1, 0, 3, 1, 2, 2, 3, 3, 6, 0, 0, 1, 4, 1, 3, 2, 7, 2, 1, 2, 2, 1, 4, 3, 0, 2, 2, 3, 0, 4, 1, 3, 5, 2, 2, 3, 2, 0, 1, 3]	8.719227879287923	0.0
Simvastatin;Oxidoreductases, N-Demethylating	[4, 0, 1, 0, 2, 2, 0, 2, 1, 2, 2, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 2, 0, 2, 2, 0, 1, 1, 3, 1, 0, 2, 1, 0, 1, 1, 2, 0, 3, 0, 1, 0, 0, 2, 0, 3, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 2, 0, 2, 0, 0, 0, 3, 0, 3, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 2, 0, 1, 2, 2, 1, 1, 2, 1, 2, 3, 0, 2, 0, 0, 1, 0, 1, 1, 0, 1, 1, 2, 1, 4, 2, 4, 1, 1, 0, 2, 0, 3, 2, 1, 2, 1, 1, 0, 0, 0, 2, 1, 3, 0, 1, 0, 0, 1, 1, 2, 1, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 3, 0, 4, 1, 1, 2, 1, 0, 0, 0, 3, 0, 1, 0, 3, 1, 3, 2, 1, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 1, 2, 0, 1, 0, 2, 0, 2, 1, 1, 0, 1, 0, 2, 0, 0, 2, 2, 2, 0, 1]	3.0556085143567357	0.0011230215510972252
Simvastatin;Aryl Hydrocarbon Hydroxylases	[16, 6, 7, 10, 6, 7, 4, 10, 7, 8, 8, 3, 3, 5, 6, 7, 6, 4, 8, 8, 3, 12, 4, 8, 5, 6, 7, 4, 7, 9, 11, 6, 7, 4, 11, 9, 5, 4, 9, 3, 9, 8, 1, 5, 7, 7, 9, 10, 9, 5, 7, 10, 8, 11, 11, 6, 11, 7, 8, 5, 2, 6, 13, 9, 6, 7, 6, 6, 6, 8, 6, 10, 7, 9, 8, 5, 4, 7, 12, 9, 10, 11, 16, 10, 12, 9, 6, 12, 5, 4, 4, 7, 8, 7, 3, 7, 5, 14, 11, 13, 10, 8, 4, 4, 6, 14, 5, 8, 8, 5, 8, 8, 9, 7, 7, 9, 8, 6, 5, 7, 7, 9, 8, 9, 8, 8, 4, 9, 12, 12, 9, 11, 8, 14, 8, 3, 10, 4, 9, 8, 9, 10, 9, 11, 9, 9, 9, 12, 10, 8, 6, 12, 11, 9, 9, 7, 7, 11, 9, 10, 5, 9, 10, 8, 12, 5, 11, 7, 14, 12, 3, 5, 10, 8, 8, 5, 8, 9, 5, 5, 9, 14, 4, 9, 6, 8, 11, 7, 10, 8, 5, 10, 7, 15, 9, 9, 7, 8, 8, 5, 6]	3.0028424863237104	0.0013373541398329358
Simvastatin;Cytochrome P-450 CYP2C9	[6, 5, 5, 7, 2, 4, 3, 3, 4, 4, 2, 2, 3, 1, 3, 4, 4, 1, 7, 5, 3, 8, 3, 5, 1, 5, 5, 2, 3, 6, 7, 2, 2, 1, 9, 4, 2, 2, 6, 1, 6, 6, 1, 3, 4, 1, 5, 6, 6, 3, 1, 5, 4, 6, 7, 4, 7, 5, 5, 4, 1, 5, 5, 5, 3, 4, 4, 3, 4, 6, 3, 5, 4, 2, 4, 2, 3, 3, 7, 3, 1, 5, 7, 5, 6, 5, 3, 7, 3, 2, 3, 6, 5, 3, 2, 4, 1, 8, 6, 6, 4, 3, 2, 2, 2, 10, 2, 3, 2, 2, 2, 1, 4, 4, 5, 6, 3, 4, 2, 4, 4, 7, 6, 6, 5, 4, 1, 5, 6, 5, 4, 7, 3, 6, 4, 1, 7, 2, 6, 5, 4, 3, 5, 6, 5, 2, 4, 6, 6, 5, 5, 2, 4, 6, 2, 5, 3, 8, 4, 4, 3, 3, 4, 4, 6, 1, 6, 5, 9, 10, 1, 3, 4, 3, 4, 2, 7, 7, 4, 4, 4, 9, 3, 5, 4, 4, 8, 2, 8, 3, 4, 4, 4, 11, 5, 5, 4, 2, 4, 3, 5]	0.9011271137791659	0.18376036912107152
Simvastatin;CYP2C9 protein, human	[6, 5, 5, 7, 2, 4, 3, 3, 4, 4, 2, 2, 3, 1, 3, 4, 4, 1, 7, 5, 3, 8, 3, 5, 1, 5, 5, 2, 3, 6, 7, 2, 2, 1, 9, 4, 2, 2, 6, 1, 6, 6, 1, 3, 4, 1, 5, 6, 6, 3, 1, 5, 4, 6, 7, 4, 7, 5, 5, 4, 1, 5, 5, 5, 3, 4, 4, 3, 4, 6, 3, 5, 4, 2, 4, 2, 3, 3, 7, 3, 1, 5, 7, 5, 6, 5, 3, 7, 3, 2, 3, 6, 5, 3, 2, 4, 1, 8, 6, 6, 4, 3, 2, 2, 2, 10, 2, 3, 2, 2, 2, 1, 4, 4, 5, 6, 3, 4, 2, 4, 4, 7, 6, 6, 5, 4, 1, 5, 6, 5, 4, 7, 3, 6, 4, 1, 7, 2, 6, 5, 4, 3, 5, 6, 5, 2, 4, 6, 6, 5, 5, 2, 4, 6, 2, 5, 3, 8, 4, 4, 3, 3, 4, 4, 6, 1, 6, 5, 9, 10, 1, 3, 4, 3, 4, 2, 7, 7, 4, 4, 4, 9, 3, 5, 4, 4, 8, 2, 8, 3, 4, 4, 4, 11, 5, 5, 4, 2, 4, 3, 5]	0.9011271137791659	0.18376036912107152
Simvastatin;Mitogen-Activated Protein Kinases	[4, 12, 2, 7, 12, 4, 9, 6, 17, 11, 8, 10, 6, 8, 15, 10, 7, 7, 10, 13, 15, 8, 13, 8, 7, 9, 5, 11, 6, 10, 6, 4, 8, 9, 6, 10, 11, 12, 8, 14, 7, 11, 9, 9, 8, 8, 6, 8, 7, 10, 9, 11, 6, 9, 8, 8, 7, 11, 9, 15, 7, 13, 7, 14, 6, 4, 11, 10, 15, 8, 8, 10, 6, 12, 11, 10, 13, 14, 14, 5, 13, 8, 10, 9, 8, 9, 12, 11, 14, 6, 11, 8, 13, 4, 6, 11, 13, 7, 7, 8, 7, 9, 2, 12, 7, 10, 13, 9, 3, 8, 7, 10, 7, 7, 12, 10, 7, 7, 12, 10, 6, 9, 4, 11, 14, 14, 10, 10, 6, 12, 8, 10, 13, 9, 11, 10, 9, 9, 15, 7, 12, 7, 8, 10, 4, 8, 6, 11, 8, 9, 10, 13, 10, 4, 14, 9, 7, 4, 6, 7, 9, 6, 8, 12, 9, 4, 12, 8, 6, 9, 10, 10, 4, 9, 11, 7, 8, 10, 10, 7, 7, 7, 14, 4, 10, 7, 7, 11, 9, 7, 10, 7, 10, 9, 4, 9, 7, 8, 8, 5, 16]	-1.723130685219218	0.9575675525523226
Simvastatin;Aspartate Aminotransferases	[5, 19, 4, 12, 13, 7, 12, 10, 13, 7, 9, 12, 12, 11, 12, 12, 10, 15, 12, 17, 14, 1, 19, 10, 10, 9, 15, 11, 13, 9, 12, 6, 10, 15, 10, 13, 12, 14, 8, 23, 11, 13, 9, 16, 9, 16, 13, 10, 7, 9, 12, 15, 15, 8, 14, 9, 5, 11, 8, 12, 19, 14, 11, 12, 13, 15, 7, 5, 10, 11, 13, 13, 13, 8, 13, 8, 7, 9, 13, 14, 14, 11, 9, 14, 9, 10, 9, 8, 9, 13, 16, 7, 10, 11, 12, 10, 15, 14, 10, 6, 6, 11, 11, 7, 11, 12, 7, 9, 10, 14, 8, 14, 11, 16, 12, 7, 7, 9, 13, 12, 13, 8, 12, 11, 7, 14, 7, 7, 13, 10, 17, 6, 11, 7, 17, 17, 10, 14, 10, 12, 11, 11, 8, 9, 13, 13, 8, 5, 9, 7, 5, 10, 7, 15, 10, 14, 9, 10, 17, 7, 13, 15, 14, 12, 10, 10, 15, 11, 6, 11, 11, 14, 2, 10, 19, 8, 11, 13, 7, 5, 14, 9, 16, 6, 7, 14, 16, 14, 10, 8, 13, 9, 12, 11, 10, 6, 15, 8, 9, 10, 8]	-1.7578104127257468	0.9606101134899552
Simvastatin;Creatine Kinase	[18, 24, 27, 37, 32, 25, 30, 28, 25, 29, 24, 29, 37, 25, 27, 31, 25, 22, 29, 25, 21, 21, 28, 32, 24, 27, 36, 25, 37, 25, 18, 28, 32, 41, 31, 27, 31, 37, 27, 39, 29, 33, 27, 30, 34, 26, 26, 32, 23, 29, 31, 30, 32, 23, 30, 31, 28, 30, 29, 34, 25, 28, 23, 25, 26, 28, 31, 29, 37, 28, 16, 23, 33, 29, 22, 29, 20, 26, 37, 24, 35, 28, 34, 37, 33, 31, 27, 29, 43, 26, 27, 30, 29, 28, 23, 31, 35, 37, 40, 31, 20, 25, 30, 32, 41, 29, 21, 25, 25, 26, 26, 35, 29, 29, 36, 22, 22, 28, 20, 34, 25, 25, 31, 20, 22, 34, 34, 25, 29, 23, 44, 28, 32, 14, 40, 25, 28, 35, 24, 24, 25, 30, 29, 32, 22, 30, 23, 30, 38, 32, 31, 26, 24, 27, 27, 40, 31, 24, 33, 26, 30, 23, 31, 34, 20, 29, 27, 21, 24, 29, 31, 30, 21, 31, 35, 27, 26, 18, 23, 23, 26, 25, 22, 24, 28, 28, 21, 30, 26, 30, 22, 29, 27, 21, 19, 17, 27, 31, 24, 28, 32]	-1.9398270037322798	0.9737996411479605
